id,gold_relation,suggested_relation,head_type,head_text,tail_type,tail_text,source_url,sentence,marked_text,memo
fa7eb29e78978690,,NO_RELATION,Page,소개,Target_Audience,"- 2 과정 (TOPIK 3, 4급 수준) </td> <td class=""ta_c""> 1",https://oia.gachon.ac.kr/international/a/m/klecInfo.do,mujjet@gachon.ac.kr,"[E1] 소개 [/E1] mujjet@gachon.ac.kr [E2] - 2 과정 (TOPIK 3, 4급 수준) </td> <td class=""ta_c""> 1 [/E2]",
225b8f45f1a23821,,NO_RELATION,Page,외국인학생,Deadline,2026.05.17.(일) 23:45,https://oia.gachon.ac.kr/clientMain/a/t/internationalMain.do,TOPIKⅡ,[E1] 외국인학생 [/E1] TOPIKⅡ [E2] 2026.05.17.(일) 23:45 [/E2],
abd1f53f9cb60449,,NO_RELATION,Event,수강료 환불 규정,ExternalResource,Weibo,https://oia.gachon.ac.kr/international/a/m/krCenterScholarship.do,입학원서 작성과 함께 모든 서류 제출 후 전형료와 수업료를 은행계좌로 입금,[E1] 수강료 환불 규정 [/E1] 입학원서 작성과 함께 모든 서류 제출 후 전형료와 수업료를 은행계좌로 입금 [E2] Weibo [/E2],
f9c966596f5fb474,,NO_RELATION,Visa,등록금 안내,Visa,등록금 안내,https://oia.gachon.ac.kr/international/a/m/krCenterScholarship.do,입학원서 작성과 함께 모든 서류 제출 후 전형료와 수업료를 은행계좌로 입금,[E1] [E2] 등록금 안내 [/E2] [/E1] 입학원서 작성과 함께 모든 서류 제출 후 전형료와 수업료를 은행계좌로 입금,
3a0bcc7d4250435d,,NO_RELATION,Notice,한국어 교육센터 소개,Email,ybhcool@naver.com,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
34000ee05ba67105,,NO_RELATION,Page,학교시설,ExternalResource,Youtube,https://oia.gachon.ac.kr/international/a/m/guideFacilities.do,mail,[E1] 학교시설 [/E1] mail [E2] Youtube [/E2],
65de718ea4e8af2e,,NO_RELATION,Notice,수업 정보,ExternalResource,Youku,https://oia.gachon.ac.kr/international/a/m/exchangeStudent.do,"수업 정보 수업 정보 상세 최소/최대 수업 이수(한학기 기준) 교환학생들은 한 학기에 최소 1과목은 가천대학교 정규 과목을 이수해야 하며, 최대 18학점까지 수업을 이수할 수 있습니다. 수업 시간 기준 3 학점 수업 = 한 주에 3시간 수업(평균) 평가 방법 출석, 시험, 리포트, 숙제 및 팀별 과제 등 성적 기준 표시 ...","[E1] 수업 정보 [/E1] 수업 정보 상세 최소/최대 수업 이수(한학기 기준) 교환학생들은 한 학기에 최소 1과목은 가천대학교 정규 과목을 이수해야 하며, 최대 18학점까지 수업을 이수할 수 있습니다. 수업 시간 기준 3 학점 수업 = 한 주에 3시간 수업(평균) 평가 방법 출석, 시험, 리포트, 숙제 및 팀별 과제 ...",
c9f2a29f41f3b6ec,,NO_RELATION,Page,소개,Email,ch980@naver.com,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,bilibili,[E1] 소개 [/E1] bilibili [E2] ch980@naver.com [/E2],
c5dac95fffbcc3c0,,NO_RELATION,Notice,한국어 교육센터 소개,Email,ch1219@gachon.ac.kr,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,"한국어 교육센터 소개 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인, 교포 자녀들을 위...","[E1] 한국어 교육센터 소개 [/E1] 가천대학교 국제교류처 한국어교육센터는 2004년 국제어학원 한국어과정으로 시작하여, 한국어 세계화의 전문적인 기관이라는 목표로 2012년 국제교류처 한국어교육센터로 확대 개편되었습니다. 한국어 정규과정은 국내 대학 진학을 목적으로 하는 외국인 유학생과 한국어를 배우고자 하는 외국인...",
f4df87ca2cad7021,,NO_RELATION,Notice,<p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습,Document,신분증 (여권 또는 외국인등록증,https://oia.gachon.ac.kr/international/a/m/guideNewStudent.do,"<p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습니다.</p> <p>한국인 멘토는 멘토링 프로그램을 통해 전공, 학년 등을 고려하여 일괄 배정됩니다.</p>","[E1] <p>가천대학교에 입학하게 되면 신입생의 학교 생활 적응을 위해 한국인 멘토가 1:1로 도와주게 됩니다.</p> <p>서로 소통하며 문화와 언어를 교환할 수 있습 [/E1]니다.</p> <p>한국인 멘토는 멘토링 프로그램을 통해 전공, 학년 등을 고려하여 일괄 배정됩니다.</p> [E2] 신분증 (여권 또는 외국...",
